ID,Site,Gradient,Microsite,Rep,Phacelia,Plantago,Salvia,Other,Nutrients
1,Panoche,1,shrub,1,3.7231,,,22.0153,added
1,Panoche,1,open,1,0.4859,0.0276,0.0241,2.7758,added
2,Panoche,1,shrub,2,0.159,,,27.8112,ambient
2,Panoche,1,open,2,,0.0963,0.3596,6.0003,ambient
3,Panoche,1,shrub,3,0.3487,,0.0058,13.5432,added
3,Panoche,1,open,3,0.1777,,0.0438,2.6245,added
4,Panoche,1,shrub,4,0.9661,,0.1449,6.5503,ambient
4,Panoche,1,open,4,,,0.2608,3.3841,ambient
5,Panoche,1,shrub,5,0.3637,,,11.7808,added
5,Panoche,1,open,5,,,0.6751,3.3208,added
6,Panoche,1,shrub,6,1.1156,,0.0572,24.7147,ambient
6,Panoche,1,open,6,,,,3.9468,ambient
7,Panoche,1,shrub,7,,,,12.5143,added
7,Panoche,1,open,7,,,,5.512,added
8,Panoche,1,shrub,8,0.435,0.1565,0.4058,12.4193,ambient
8,Panoche,1,open,8,0.0391,0.282,0.0768,3.7891,ambient
9,Panoche,1,shrub,9,4.0768,,0.1464,17.2538,added
9,Panoche,1,open,9,0.5129,1.5163,,3.8611,added
10,Panoche,1,shrub,10,3.6459,,0.0832,22.1862,ambient
10,Panoche,1,open,10,,,0.2581,5.8425,ambient
11,Panoche,1,shrub,11,,,0.256,17.1192,added
11,Panoche,1,open,11,0.0451,,0.3891,6.0449,added
12,Panoche,1,shrub,12,0.1178,,0.2833,31.3018,ambient
12,Panoche,1,open,12,,,,8.3547,ambient
13,Panoche,1,shrub,13,,,,13.3013,added
13,Panoche,1,open,13,0.4667,,,5.5774,added
14,Panoche,1,shrub,14,2.2297,,0.0157,26.4307,ambient
14,Panoche,1,open,14,0.2743,0.1362,0.2904,4.1663,ambient
15,Panoche,1,shrub,15,1.2376,,,18.532,added
15,Panoche,1,open,15,0.0682,,0.4033,10.7176,added
16,Panoche,1,shrub,16,,,,18.1812,ambient
16,Panoche,1,open,16,,,0.0466,7.6694,ambient
17,Panoche,1,shrub,17,,,0.0616,12.784,added
17,Panoche,1,open,17,0.533,0.0648,0.0664,8.3763,added
18,Panoche,1,shrub,18,,,0.1918,20.3541,ambient
18,Panoche,1,open,18,0.555,,0.2126,1.9175,ambient
19,Panoche,1,shrub,19,,,,16.5502,added
19,Panoche,1,open,19,0.0873,,0.3762,2.4731,added
20,Panoche,1,shrub,20,9.8499,,0.562,19.09488,ambient
20,Panoche,1,open,20,,0.1049,0.521,2.6764,ambient
21,Panoche,1,shrub,21,2.0692,,0.1682,43.3173,added
21,Panoche,1,open,21,,0.0997,0.3919,3.595,added
22,Panoche,1,shrub,22,1.597,,0.0812,12.9287,ambient
22,Panoche,1,open,22,0.0426,0.0597,0.0127,17.6915,ambient
23,Panoche,1,shrub,23,0.8097,,1.7065,22.9511,added
23,Panoche,1,open,23,,,,4.8555,added
24,Panoche,1,shrub,24,0.6704,,0.372,13.9459,ambient
24,Panoche,1,open,24,0.7517,0.0678,0.7796,14.6693,ambient
25,Panoche,1,shrub,25,0.6181,,0.0486,35.2983,added
25,Panoche,1,open,25,,,1.2589,8.223,added
26,Panoche,1,shrub,26,0.3102,,,29.0397,ambient
26,Panoche,1,open,26,,,0.0281,5.1142,ambient
27,Panoche,1,shrub,27,0.3842,,0.2207,12.9724,added
27,Panoche,1,open,27,,,0.1016,4.1717,added
28,Panoche,1,shrub,28,,,,22.7301,ambient
28,Panoche,1,open,28,,0.176,0.0502,4.9659,ambient
29,Panoche,1,shrub,29,2.3958,,0.0646,14.9038,added
29,Panoche,1,open,29,,0.3637,0.0451,2.955,added
30,Panoche,1,shrub,30,0.0259,,0.1077,14.8281,ambient
30,Panoche,1,open,30,0.0802,0.6216,0.9957,5.1806,ambient
31,Cuyama,2,shrub,1,0.5964,,,0.4451,added
31,Cuyama,2,open,1,0.1904,,0.4603,2.67,added
32,Cuyama,2,shrub,2,,,,1.1774,ambient
32,Cuyama,2,open,2,1.3251,0.0663,0.0365,3.9388,ambient
33,Cuyama,2,shrub,3,,,0.6987,1.813,added
33,Cuyama,2,open,3,,,,1.0642,added
34,Cuyama,2,shrub,4,0.2003,,,2.7751,ambient
34,Cuyama,2,open,4,,,,5.7127,ambient
35,Cuyama,2,shrub,5,0.5891,,0.0821,1.1015,added
35,Cuyama,2,open,5,0.2544,,0.2552,4.7012,added
36,Cuyama,2,shrub,6,0.3842,,0.1106,2.0208,ambient
36,Cuyama,2,open,6,,,1.0076,3.7769,ambient
37,Cuyama,2,shrub,7,,,0.4782,3.0192,added
37,Cuyama,2,open,7,4.2893,,0.1794,3.5763,added
38,Cuyama,2,shrub,8,,,,5.48907,ambient
38,Cuyama,2,open,8,,,,1.4626,ambient
39,Cuyama,2,shrub,9,,,,4.549,added
39,Cuyama,2,open,9,0.2139,,,3.004,added
40,Cuyama,2,shrub,10,0.2966,,0.1229,0.7735,ambient
40,Cuyama,2,open,10,,,,2.8841,ambient
41,Cuyama,2,shrub,11,0.0228,,,2.0676,added
41,Cuyama,2,open,11,,,,4.9944,added
42,Cuyama,2,shrub,12,,,0.1722,4.0771,ambient
42,Cuyama,2,open,12,,,,2.442,ambient
43,Cuyama,2,shrub,13,,,,1.8743,added
43,Cuyama,2,open,13,0.1141,,,2.1415,added
44,Cuyama,2,shrub,14,,,,2.144,ambient
44,Cuyama,2,open,14,,,,4.2167,ambient
45,Cuyama,2,shrub,15,,,,1.2213,added
45,Cuyama,2,open,15,,,,1.352,added
46,Cuyama,2,shrub,16,1.297,,0.2592,4.9756,ambient
46,Cuyama,2,open,16,,,,1.9563,ambient
47,Cuyama,2,shrub,17,,,0.1249,1.5991,added
47,Cuyama,2,open,17,0.2659,,0.0645,1.1261,added
48,Cuyama,2,shrub,18,0.4336,0.0267,0.276,0.5978,ambient
48,Cuyama,2,open,18,,,,1.0235,ambient
49,Cuyama,2,shrub,19,3.4883,,0.0647,2.6687,added
49,Cuyama,2,open,19,2.0215,,,2.5176,added
50,Cuyama,2,shrub,20,,,,0.4084,ambient
50,Cuyama,2,open,20,,,,4.332,ambient
51,Cuyama,2,shrub,21,,,0.1435,1.2541,added
51,Cuyama,2,open,21,,,,2.8024,added
52,Cuyama,2,shrub,22,,,,1.3705,ambient
52,Cuyama,2,open,22,,,,2.147,ambient
53,Cuyama,2,shrub,23,,,,4.9759,added
53,Cuyama,2,open,23,0.5921,,,5.0203,added
54,Cuyama,2,shrub,24,,,,0.7851,ambient
54,Cuyama,2,open,24,,,,2.1732,ambient
55,Cuyama,2,shrub,25,,,,0.1253,added
55,Cuyama,2,open,25,,,0.4364,0.5305,added
56,Cuyama,2,shrub,26,0.334,,0.8581,1.3724,ambient
56,Cuyama,2,open,26,,,,1.8914,ambient
57,Cuyama,2,shrub,27,1.40727,,0.3303,2.4118,added
57,Cuyama,2,open,27,1.7583,,,3.3385,added
58,Cuyama,2,shrub,28,0.4084,,,1.4399,ambient
58,Cuyama,2,open,28,,,,1.3152,ambient
59,Cuyama,2,shrub,29,0.3509,,0.4779,1.8358,added
59,Cuyama,2,open,29,0.2142,,,0.5776,added
60,Cuyama,2,shrub,30,,,,3.479,ambient
60,Cuyama,2,open,30,,,,1.1282,ambient
61,Barstow,4,shrub,1,,,,,added
61,Barstow,4,open,1,,,,,added
62,Barstow,4,shrub,2,,,,,ambient
62,Barstow,4,open,2,,,,,ambient
63,Barstow,4,shrub,3,,,,,added
63,Barstow,4,open,3,,,0.0455,,added
64,Barstow,4,shrub,4,,,,,ambient
64,Barstow,4,open,4,0.0378,,,,ambient
65,Barstow,4,shrub,5,,0.023,0.0159,,added
65,Barstow,4,open,5,,,,,added
66,Barstow,4,shrub,6,,,,,ambient
66,Barstow,4,open,6,,0.0188,0.0554,,ambient
67,Barstow,4,shrub,7,,,,,added
67,Barstow,4,open,7,,,,,added
68,Barstow,4,shrub,8,,,,,ambient
68,Barstow,4,open,8,,,,,ambient
69,Barstow,4,shrub,9,,0.0204,,,added
69,Barstow,4,open,9,,,,,added
70,Barstow,4,shrub,10,,,,,ambient
70,Barstow,4,open,10,,,,,ambient
71,Barstow,4,shrub,11,,,,,added
71,Barstow,4,open,11,,,,,added
72,Barstow,4,shrub,12,,,,,ambient
72,Barstow,4,open,12,,,,,ambient
73,Barstow,4,shrub,13,,,,,added
73,Barstow,4,open,13,,,,,added
74,Barstow,4,shrub,14,,0.0195,0.0259,,ambient
74,Barstow,4,open,14,,0.0087,,,ambient
75,Barstow,4,shrub,15,,,,,added
75,Barstow,4,open,15,,,,,added
76,Barstow,4,shrub,16,,,,,ambient
76,Barstow,4,open,16,0.0108,,,,ambient
77,Barstow,4,shrub,17,,,,,added
77,Barstow,4,open,17,,,,,added
78,Barstow,4,shrub,18,0.0125,0.0061,,,ambient
78,Barstow,4,open,18,,,,,ambient
79,Barstow,4,shrub,19,,,,,added
79,Barstow,4,open,19,,,,,added
80,Barstow,4,shrub,20,,,,,ambient
80,Barstow,4,open,20,,,,,ambient
81,Barstow,4,shrub,21,0.0113,,,,added
81,Barstow,4,open,21,,,,,added
82,Barstow,4,shrub,22,,0.0083,,,ambient
82,Barstow,4,open,22,,,,,ambient
83,Barstow,4,shrub,23,,,,,added
83,Barstow,4,open,23,,,,,added
