census,ID,Site,Rep,Lat,Long,Elevation,Gradient,Microsite,Nutrient,swc,Phacelia.surv,Plantago.surv,Salvia.surv,Phacelia,Plantago,Salvia,abundance,richness,proportional,Phacelia.biomass,Plantago.biomass,Salvia.biomass,phyto.biomass,,
end,1,Panoche,1,36.70000998,-120.801116,656.320862,1,shrub,Added,15.4,,,,9,0,0,9,1,9,3.7231,,,3.7231,3.7231,
end,1,Panoche,1,36.70000998,-120.801116,656.320862,1,open,Added,25.3,,,,5,2,5,12,3,4,0.4859,0.0276,0.0241,0.5376,0.5376,
end,2,Panoche,2,36.70004804,-120.80123,656.190247,1,shrub,Ambient,18.6,1,,1,4,0,5,9,2,4.5,0.159,,1.055,1.214,0.159,
end,2,Panoche,2,36.70004804,-120.80123,656.190247,1,open,Ambient,16.9,1,,,1,4,14,19,3,6.333333333,,0.0963,0.3596,0.4559,0.4559,
end,3,Panoche,3,36.70009598,-120.801464,656.647461,1,shrub,Added,16.6,,,,3,0,1,4,2,2,0.3487,,0.0058,0.3545,0.3545,
end,3,Panoche,3,36.70009598,-120.801464,656.647461,1,open,Added,21.4,0,0,0,4,0,0,4,1,4,0.1777,,0.0438,0.2215,0.2215,
end,4,Panoche,4,36.70011903,-120.801429,657.375244,1,shrub,Ambient,19.4,,,,3,0,30,33,2,16.5,0.9661,,0.1449,1.111,1.111,
end,4,Panoche,4,36.70011903,-120.801429,657.375244,1,open,Ambient,19,,,,5,0,6,11,2,5.5,,,0.2608,0.2608,0.2608,
end,5,Panoche,5,36.70019296,-120.801587,656.507507,1,shrub,Added,12.2,0,,1,6,0,7,13,2,6.5,0.3637,,,0.3637,0.3637,
end,5,Panoche,5,36.70019296,-120.801587,656.507507,1,open,Added,21.5,,,,0,1,13,14,2,7,,,0.6751,0.6751,0.6751,
end,6,Panoche,6,36.70026404,-120.80141,655.58374,1,shrub,Ambient,18.4,1,0,1,9,0,20,29,2,14.5,1.1156,,0.0572,1.1728,1.1728,
end,6,Panoche,6,36.70026404,-120.80141,655.58374,1,open,Ambient,19.4,,,1,3,0,7,10,2,5,,,0.3241,0.3241,0,
end,7,Panoche,7,36.70036797,-120.801448,655.434448,1,shrub,Added,25.2,,0,,2,0,0,2,1,2,0.6512,,,0.6512,0,
end,7,Panoche,7,36.70036797,-120.801448,655.434448,1,open,Added,19.2,,,,0,0,0,0,0,0,,,,0,0,
end,8,Panoche,8,36.70044601,-120.80149,655.313171,1,shrub,Ambient,18.9,,1,1,7,8,24,39,3,13,0.435,0.1565,0.4058,0.9973,0.9973,
end,8,Panoche,8,36.70044601,-120.80149,655.313171,1,open,Ambient,21.8,,1,1,1,6,16,23,3,7.666666667,0.0391,0.282,0.0768,0.3979,0.3979,
end,9,Panoche,9,36.70052002,-120.801512,655.05188,1,shrub,Added,29,1,,,12,0,0,12,1,12,4.0768,,0.1464,4.2232,4.2232,
end,9,Panoche,9,36.70052002,-120.801512,655.05188,1,open,Added,23.4,1,1,,5,40,0,45,2,22.5,0.5129,1.5163,,2.0292,2.0292,
end,10,Panoche,10,36.70044098,-120.801595,655.537109,1,shrub,Ambient,15.9,1,,1,9,0,10,19,2,9.5,3.6459,,0.0832,3.7291,3.7291,
end,10,Panoche,10,36.70044098,-120.801595,655.537109,1,open,Ambient,17.4,1,,1,4,0,10,14,2,7,,,0.2581,0.2581,0.2581,
end,11,Panoche,11,36.70056897,-120.801704,656.432861,1,shrub,Added,13.4,,,1,0,0,14,14,1,14,,,1.678,1.678,0.256,
end,11,Panoche,11,36.70056897,-120.801704,656.432861,1,open,Added,22,,1,1,0,1,10,11,2,5.5,0.0451,,0.3891,0.4342,0.4342,
end,12,Panoche,12,36.700631,-120.801863,657.030029,1,shrub,Ambient,16.8,,,1,3,0,12,15,2,7.5,0.1178,,0.2833,0.4011,0.4011,
end,12,Panoche,12,36.700631,-120.801863,657.030029,1,open,Ambient,17.8,0,0,0,0,0,0,0,0,0,,,,0,0,
end,13,Panoche,13,36.70059504,-120.801965,657.160645,1,shrub,Added,21.4,,,,3,0,0,3,1,3,0.5321,,,0.5321,0,
end,13,Panoche,13,36.70059504,-120.801965,657.160645,1,open,Added,21.4,,0,,12,0,0,12,1,12,0.4667,,,0.4667,0.4667,
end,14,Panoche,14,36.70063804,-120.801745,656.768738,1,shrub,Ambient,21.2,,1,1,4,5,15,24,3,8,2.2297,,0.0157,2.2454,2.2454,
end,14,Panoche,14,36.70063804,-120.801745,656.768738,1,open,Ambient,18.5,1,1,1,4,5,15,24,3,8,0.2743,0.1362,0.2904,0.7009,0.7009,
end,15,Panoche,15,36.70063804,-120.802166,657.216614,1,shrub,Added,14.9,,,,11,0,6,17,2,8.5,1.2376,,,1.2376,1.2376,
end,15,Panoche,15,36.70063804,-120.802166,657.216614,1,open,Added,16.2,,,,2,1,10,13,3,4.333333333,0.0682,,0.4033,0.4715,0.4715,
end,16,Panoche,16,36.70074298,-120.802176,656.955383,1,shrub,Ambient,17.5,,,,8,0,0,8,1,8,2.1253,,,2.1253,0,
end,16,Panoche,16,36.70074298,-120.802176,656.955383,1,open,Ambient,19,1,1,1,3,6,1,10,3,3.333333333,,,0.0466,0.0466,0.0466,
end,17,Panoche,17,36.70086301,-120.802219,656.022278,1,shrub,Added,12.9,,,,0,0,7,7,1,7,,,0.0616,0.0616,0.0616,
end,17,Panoche,17,36.70086301,-120.802219,656.022278,1,open,Added,13.6,,,1,6,5,9,20,3,6.666666667,0.533,0.0648,0.0664,0.6642,0.6642,
end,18,Panoche,18,36.700804,-120.802257,656.554138,1,shrub,Ambient,19.8,1,,1,7,0,8,15,2,7.5,,,0.1918,0.1918,0.1918,
end,18,Panoche,18,36.700804,-120.802257,656.554138,1,open,Ambient,18.7,1,,1,4,1,13,18,3,6,0.555,,0.2126,0.7676,0.7676,
end,19,Panoche,19,36.70073301,-120.802433,656.199585,1,shrub,Added,14.5,,,,0,0,0,0,0,0,,,,0,0,
end,19,Panoche,19,36.70073301,-120.802433,656.199585,1,open,Added,17.8,,,,1,1,4,6,3,2,0.0873,,0.3762,0.4635,0.4635,
end,20,Panoche,20,36.700688,-120.802347,655.443787,1,shrub,Ambient,15.1,1,,1,20,0,24,44,2,22,9.8499,,0.562,10.4119,10.4119,
