Shortname,Genus,Species,subspecies,status
B.diandrus,Bromus,Diandrus,,non.native
B.rubens,Bromus,madritensis,rubens,non.native
E.cicutarium,Erodium,cicutarium,,non.native
A.wrangelianus,Acmispon,wrangelianus,,native
A.lentiginosus,Astragalus,lentiginosus,,non.native
A.tessellata,Amsinckia,tessellata,,native
H.vulgare,Hordeum,vulgare,,non.native
L.gracilis,Lasthenia,gracilis,,native
C.fremontii,Chaenactis,fremontii,,native
M.affinis,Mentzelia ,affinis,,native
M.glabrata,Malacothrixÿ,glabrata,,native
C.barbigera,Cryptantha,barbigera,,native
L.sparsiflorus,Lupin,sparsiflorus,,native
S.barbatus,Schismus,barbatus,,native
C.cheiranthifolia,Camissoniopsis,cheiranthifolia,,native
E.glyptosperma,Eschscholzia,glyptosperma,,native
P.crenulata,Phacelia,crenulata,,native
P.tanacetifolia,Phacelia,tanacetifolia,,native
E.wallacei,Eriophyllumÿ,wallacei,,native
S.columbariae,Salvia,columbariae,,native
Erinoginum.spp,Erinoginum,spp,,native
E.nitidum,lepidium,nitidum,,native
P.insularis,Plantago,ovata,insularis,native
N.demissum,Nama,demissum,,native
Pectocarya.spp,Pectocarya,spp,,native
C.intermedia,Cryptantha,intermedia,,native
R.neomexicana,Rafinesquia ,neomexicana,,native
C.brevipes,Camissonia,brevipes,,native
C.lasiophyllus,Caulanthus,lasiophyllus,,native
C.rigida,Chorizanthe,rigida,,native
L.decorus,Leptosiphon,aureus,decorus,native
M.nigra,Brassica,nigra,,non.native
M.bellioides,Monoptilon,bellioides,,native
D.capitatum,Dichelostemma,capitatum,,native
M.lanceolata,Monolopia,lanceolata,,native
C.claviformis,Camissonia,claviformis,,native
A.grandiflora,Amsinckia,grandiflora,,native
O.deltoides,Oenothera,deltoides,,native
