ERG.site,Stn Id,Stn Name,CIMIS Region,Date,Jul,Precip,max.temp,min.temp,avg.temp,RH.max,RH.min,RH.avg,wind.speed
Barstow,234,Newberry Springs II,San Bernardino,2/25/2015,56,0.2,21.5,0,14.6,53,20,39,2.7
Barstow,234,Newberry Springs II,San Bernardino,2/26/2015,57,0,21.2,5.5,13.7,64,22,39,3.5
Barstow,234,Newberry Springs II,San Bernardino,2/27/2015,58,0,21.3,6.9,13.5,66,30,50,5.9
Barstow,234,Newberry Springs II,San Bernardino,2/28/2015,59,0,17.1,6.8,12,67,32,50,6.4
Barstow,234,Newberry Springs II,San Bernardino,03/01/2015,60,0,12.6,3.4,8.2,89,52,72,3.2
Barstow,234,Newberry Springs II,San Bernardino,03/02/2015,61,0,16.3,4.2,9.8,91,32,59,3.5
Barstow,234,Newberry Springs II,San Bernardino,03/03/2015,62,0,16.4,2.9,9.8,86,29,53,2.7
Barstow,234,Newberry Springs II,San Bernardino,03/04/2015,63,0,16.4,2.4,9.8,68,13,32,2.1
Barstow,234,Newberry Springs II,San Bernardino,03/05/2015,64,0,19.1,-1.2,9.4,58,15,32,2.2
Barstow,234,Newberry Springs II,San Bernardino,03/06/2015,65,0,22.9,1,11.9,51,12,27,2.4
Barstow,234,Newberry Springs II,San Bernardino,03/07/2015,66,0,24.5,4.2,13.9,44,11,24,2.5
Barstow,234,Newberry Springs II,San Bernardino,03/08/2015,67,0,27.3,6.2,16.8,40,10,20,2.8
Barstow,234,Newberry Springs II,San Bernardino,03/09/2015,68,0,26.4,8.1,16.4,45,8,22,3
Barstow,234,Newberry Springs II,San Bernardino,03/10/2015,69,0,26.5,4.4,16.5,35,9,18,2.5
Barstow,234,Newberry Springs II,San Bernardino,03/11/2015,70,0,24.1,12.9,17.7,47,14,30,3
Barstow,234,Newberry Springs II,San Bernardino,03/12/2015,71,0,25.9,7.1,17.1,70,20,37,3
Barstow,234,Newberry Springs II,San Bernardino,3/13/2015,72,0,26.4,8.1,17.4,54,17,30,2.3
Barstow,234,Newberry Springs II,San Bernardino,3/14/2015,73,0,28.4,8.6,18.4,45,16,27,2.5
Barstow,234,Newberry Springs II,San Bernardino,3/15/2015,74,0,29.1,7.9,19.3,48,16,27,2.1
Barstow,234,Newberry Springs II,San Bernardino,3/16/2015,75,0,29.7,9.6,20.1,45,11,24,2.2
Barstow,234,Newberry Springs II,San Bernardino,3/17/2015,76,0,27.9,14.4,20.2,41,16,28,4.2
Barstow,234,Newberry Springs II,San Bernardino,3/18/2015,77,0,25.9,15,19.1,50,22,36,3.8
Barstow,234,Newberry Springs II,San Bernardino,3/19/2015,78,0,27.1,11,18.7,65,9,31,3.2
Barstow,234,Newberry Springs II,San Bernardino,3/20/2015,79,0,27.6,6.8,18.1,57,8,24,2.3
Barstow,234,Newberry Springs II,San Bernardino,3/21/2015,80,0,30.3,11.9,21.2,39,6,20,5.1
Barstow,234,Newberry Springs II,San Bernardino,3/22/2015,81,0,28,14.8,20.5,47,12,25,6.1
Barstow,234,Newberry Springs II,San Bernardino,3/23/2015,82,0.1,23.9,12.3,17,63,20,40,8
Barstow,234,Newberry Springs II,San Bernardino,3/24/2015,83,0,25.1,10.5,17.4,62,21,38,5.1
Barstow,234,Newberry Springs II,San Bernardino,3/25/2015,84,0,25.8,8.8,17.6,65,15,32,2.9
Barstow,234,Newberry Springs II,San Bernardino,3/26/2015,85,0,27.5,7.5,18.2,43,15,25,2.1
Barstow,234,Newberry Springs II,San Bernardino,3/27/2015,86,0,31.8,9.4,21.1,47,12,22,2.3
Barstow,234,Newberry Springs II,San Bernardino,3/28/2015,87,0,31.9,14.6,23.2,39,8,20,3.6
Barstow,234,Newberry Springs II,San Bernardino,3/29/2015,88,0,30.7,12.6,22.1,48,11,23,3.1
Barstow,234,Newberry Springs II,San Bernardino,3/30/2015,89,0,31.3,11.9,22.5,53,11,24,2.9
Barstow,234,Newberry Springs II,San Bernardino,3/31/2015,90,0,29.7,14.3,21.2,33,15,23,6.3
Barstow,234,Newberry Springs II,San Bernardino,04/01/2015,91,0,26.2,10.7,18.3,49,7,23,5.5
Barstow,234,Newberry Springs II,San Bernardino,04/02/2015,92,0,21.9,8.5,15.5,37,13,22,3.9
Barstow,234,Newberry Springs II,San Bernardino,04/03/2015,93,0,22.3,3.7,14.1,41,12,21,2.3
Barstow,234,Newberry Springs II,San Bernardino,04/04/2015,94,0,27.7,5.1,17.1,28,12,20,3.2
Barstow,234,Newberry Springs II,San Bernardino,04/05/2015,95,0,24.8,10,17.1,46,11,22,5.4
Barstow,234,Newberry Springs II,San Bernardino,04/06/2015,96,0,20.6,8.2,14.1,73,19,40,5
Barstow,234,Newberry Springs II,San Bernardino,04/07/2015,97,0,19.7,5.5,12.4,57,23,39,5.5
Barstow,234,Newberry Springs II,San Bernardino,04/08/2015,98,0,18.7,5.4,11.8,65,21,37,4.1
Barstow,234,Newberry Springs II,San Bernardino,04/09/2015,99,0,22.1,3.5,14,61,14,29,2.6
Barstow,234,Newberry Springs II,San Bernardino,04/10/2015,100,0,25.3,7.9,16.4,51,17,32,2.8
Barstow,234,Newberry Springs II,San Bernardino,04/11/2015,101,0,25.3,8.9,18.1,49,16,30,3.9
Barstow,234,Newberry Springs II,San Bernardino,04/12/2015,102,0,27.7,11.9,19.8,45,13,28,3
Barstow,234,Newberry Springs II,San Bernardino,4/13/2015,103,0,30.4,11.3,22,54,11,26,4.4
Barstow,234,Newberry Springs II,San Bernardino,4/14/2015,104,0,24.7,9.7,17.8,48,16,31,6.7
Barstow,234,Newberry Springs II,San Bernardino,4/15/2015,105,0,20,5.2,13.9,46,12,21,2.8
